iter	Logloss
0	0.6053181259
1	0.5297554279
2	0.4785505416
3	0.4436556822
4	0.4131698127
5	0.3906386602
6	0.373518394
7	0.3606856846
8	0.351094635
9	0.3418573099
10	0.3364489712
11	0.3313693647
12	0.3272691941
13	0.3226993058
14	0.3196186438
15	0.3167350551
16	0.3145891297
17	0.3127290443
18	0.3115951671
19	0.3101040536
20	0.3083374368
21	0.3073573685
22	0.3061202803
23	0.3047559875
24	0.3036192437
25	0.3031723675
26	0.3017883139
27	0.301432727
28	0.3006276153
29	0.2997030132
30	0.2990087138
31	0.2980049145
32	0.2973870551
33	0.2964416964
34	0.2960767411
35	0.2959857002
36	0.295675228
37	0.2951962018
38	0.2946974589
39	0.2943319053
40	0.2939971287
41	0.2939170254
42	0.2932245918
43	0.2926341051
44	0.292456727
45	0.2919523396
46	0.2913334837
47	0.2909711156
48	0.2902125253
49	0.2896098676
50	0.2895096033
51	0.2894100505
52	0.2892516168
53	0.2890091002
54	0.2889603069
55	0.2886680498
56	0.2885884617
57	0.2884504235
58	0.2883998585
59	0.2881094729
60	0.2878513665
61	0.2874838171
62	0.2874320227
63	0.2867980462
64	0.2867246551
65	0.2865827375
66	0.286459426
67	0.2862421181
68	0.2861577748
69	0.2859923231
70	0.2858659527
71	0.2857979935
72	0.2856490127
73	0.2855965341
74	0.2855419124
75	0.2851094501
76	0.2850145904
77	0.284977871
78	0.2848221806
79	0.2844696804
80	0.2844216287
81	0.2843586326
82	0.2839050344
83	0.2835206038
84	0.2834401793
85	0.2832888977
86	0.2831049866
87	0.2828555774
88	0.2827036691
89	0.2827036003
90	0.2819806528
91	0.2819297332
92	0.2816208461
93	0.2816129858
94	0.2815990808
95	0.2815911303
96	0.281379022
97	0.2813477296
98	0.2813002443
99	0.2810296341
100	0.2808858065
101	0.2808256387
102	0.2808110945
103	0.2807363393
104	0.2807164131
105	0.2803550465
106	0.2803012769
107	0.2801144121
108	0.2799467527
109	0.2797780496
110	0.2790912098
111	0.2787092096
