iter	Passed	Remaining
0	26	26951
1	42	21416
2	50	16689
3	60	14973
4	75	15070
5	89	14812
6	105	14898
7	120	14981
8	135	14915
9	150	14861
10	165	14924
11	181	14969
12	198	15073
13	214	15084
14	229	15057
15	244	15008
16	264	15298
17	280	15314
18	286	14794
19	302	14806
20	313	14613
21	328	14612
22	345	14693
23	362	14745
24	382	14922
25	397	14884
26	414	14922
27	429	14925
28	445	14930
29	463	14979
30	478	14952
31	494	14948
32	505	14815
33	527	14981
34	546	15055
35	563	15079
36	578	15064
37	587	14870
38	597	14722
39	612	14692
40	627	14671
41	640	14609
42	649	14444
43	661	14374
44	667	14170
45	679	14092
46	687	13943
47	700	13897
48	713	13847
49	726	13803
50	738	13742
51	744	13567
52	748	13376
53	761	13340
54	773	13296
55	787	13272
56	800	13235
57	811	13182
58	824	13151
59	837	13114
60	849	13074
61	857	12979
62	865	12873
63	871	12742
64	883	12707
65	895	12679
66	908	12654
67	920	12609
68	932	12579
69	936	12440
70	952	12462
71	967	12466
72	980	12454
73	998	12488
74	1007	12420
75	1021	12419
76	1035	12415
77	1041	12312
78	1056	12322
79	1071	12325
80	1080	12254
81	1094	12253
82	1102	12180
83	1110	12111
84	1121	12069
85	1138	12097
86	1153	12106
87	1169	12116
88	1186	12147
89	1201	12147
90	1207	12062
91	1218	12025
92	1235	12046
93	1249	12046
94	1264	12047
95	1281	12065
96	1296	12069
97	1315	12112
98	1335	12156
99	1350	12154
100	1353	12046
101	1356	11940
102	1368	11919
103	1380	11896
104	1389	11840
105	1401	11816
106	1407	11743
107	1418	11717
108	1422	11630
109	1428	11556
110	1440	11538
111	1452	11518
112	1464	11493
113	1469	11422
114	1481	11398
115	1489	11348
116	1493	11270
117	1505	11254
118	1518	11240
119	1524	11177
120	1536	11165
121	1554	11189
122	1570	11197
123	1587	11211
124	1603	11224
125	1619	11235
126	1636	11247
127	1646	11216
128	1662	11222
129	1679	11240
130	1695	11246
131	1711	11254
132	1721	11224
133	1732	11195
134	1739	11148
135	1746	11092
136	1762	11104
137	1777	11104
138	1788	11079
139	1805	11093
140	1814	11053
141	1832	11075
142	1845	11058
143	1861	11065
144	1867	11011
145	1875	10971
146	1887	10952
147	1900	10942
148	1913	10925
149	1917	10863
150	1925	10823
151	1937	10810
152	1951	10801
153	1959	10762
