iter	Passed	Remaining
0	234	234356
1	419	209329
2	625	207793
3	757	188506
4	936	186275
5	1053	174601
6	1234	175090
7	1327	164549
8	1575	173523
9	1772	175522
10	1950	175378
11	2120	174607
12	2279	173042
13	2461	173337
14	2638	173261
15	2818	173315
16	2979	172286
17	3126	170591
18	3301	170436
19	3490	171039
20	3654	170379
21	3837	170596
22	4043	171772
23	4177	169887
24	4349	169649
25	4515	169172
26	4702	169479
27	4891	169789
28	5037	168682
29	5192	167898
30	5377	168089
31	5636	170495
32	5833	170935
33	5966	169517
34	6124	168854
35	6327	169433
36	6518	169653
37	6724	170240
38	6911	170316
39	7092	170215
40	7243	169425
41	7443	169779
42	7604	169254
43	7767	168761
44	7911	167896
45	8094	167877
46	8223	166738
47	8345	165517
48	8541	165772
49	8715	165588
50	8895	165534
51	9062	165217
52	9233	164980
53	9405	164765
54	9586	164715
55	9773	164760
56	9954	164684
57	10141	164715
58	10322	164636
59	10497	164468
60	10692	164601
61	10876	164552
62	11027	164018
63	11205	163887
64	11414	164187
65	11623	164496
66	11821	164612
67	12011	164622
68	12275	165635
69	12461	165556
70	12629	165251
71	12808	165088
72	12994	165010
73	13164	164736
74	13376	164978
75	13597	165319
76	13744	164754
77	13926	164615
78	14123	164650
79	14317	164650
80	14527	164824
81	14656	164080
82	14841	163975
83	15076	164410
84	15247	164132
85	15424	163927
86	15608	163800
87	15781	163553
88	15968	163451
89	16133	163126
90	16303	162859
91	16416	162027
92	16566	161564
93	16750	161447
94	16933	161314
95	17102	161052
96	17244	160532
97	17480	160896
98	17669	160808
99	17848	160636
100	18037	160554
101	18293	161052
102	18512	161218
103	18740	161455
104	18919	161262
105	19133	161369
106	19317	161223
107	19513	161163
108	19732	161302
109	19893	160960
110	20116	161115
111	20303	160981
112	20509	160989
113	20690	160805
114	20832	160316
115	20992	159977
116	21203	160021
117	21398	159946
118	21565	159658
119	21766	159623
120	21986	159719
121	22104	159077
122	22288	158920
123	22431	158468
124	22608	158260
125	22838	158422
126	23015	158211
127	23201	158063
128	23370	157794
129	23527	157453
130	23755	157582
131	24001	157827
132	24151	157435
133	24336	157281
134	24514	157075
135	24755	157267
136	24959	157228
137	25121	156916
138	25298	156702
139	25586	157173
140	25793	157139
141	25999	157094
142	26093	156377
143	26232	155935
144	26396	155646
145	26509	155061
146	26694	154901
147	26845	154541
148	27091	154730
149	27204	154156
150	27390	154003
151	27557	153739
152	27738	153556
153	27931	153440
154	28113	153265
155	28314	153188
156	28552	153310
157	28762	153279
158	28936	153054
159	29175	153172
160	29333	152863
161	29502	152610
162	29707	152547
163	29889	152365
164	30035	151995
165	30201	151734
166	30338	151330
167	30518	151138
168	30699	150954
169	30878	150761
170	31028	150423
171	31255	150463
172	31433	150260
173	31625	150132
174	31816	149994
175	32007	149851
176	32189	149669
177	32372	149496
178	32573	149402
179	32763	149255
180	32948	149087
181	33130	148905
182	33310	148715
183	33506	148594
184	33691	148424
185	33880	148271
186	34063	148096
187	34316	148220
188	34460	147871
189	34647	147706
190	34832	147537
191	35013	147347
192	35220	147269
193	35355	146889
194	35543	146730
195	35743	146620
196	35869	146208
197	36073	146115
198	36321	146198
199	36494	145976
200	36675	145788
201	36843	145548
202	37005	145287
203	37170	145039
204	37322	144736
205	37493	144512
206	37715	144486
207	37900	144313
208	38139	144345
209	38303	144094
210	38491	143933
211	38643	143637
212	38853	143557
213	39089	143570
214	39287	143446
215	39539	143512
216	39730	143358
217	39927	143226
218	40118	143071
219	40303	142893
220	40516	142817
221	40734	142752
222	40974	142768
223	41162	142598
224	41338	142387
225	41477	142052
226	41671	141904
227	41871	141774
228	42020	141476
229	42217	141337
230	42467	141374
231	42657	141211
232	42883	141166
233	43017	140817
234	43180	140567
235	43382	140441
236	43578	140297
237	43752	140081
238	43919	139844
239	44103	139660
240	44265	139408
241	44416	139121
242	44611	138975
243	44837	138921
244	45006	138693
245	45237	138654
246	45419	138464
247	45596	138259
248	45821	138200
249	46019	138057
250	46254	138026
251	46417	137778
252	46611	137622
253	46792	137429
254	46990	137285
255	47188	137141
256	47381	136981
257	47547	136745
258	47716	136516
259	47932	136423
260	48063	136087
261	48214	135809
262	48420	135688
263	48624	135558
264	48797	135344
265	49001	135214
266	49174	134998
267	49408	134951
268	49592	134765
269	49763	134545
270	49962	134401
271	50163	134261
272	50422	134273
273	50603	134079
274	50782	133881
275	50975	133718
276	51235	133729
277	51403	133500
278	51567	133262
279	51754	133083
280	51943	132907
281	52159	132804
282	52358	132653
283	52556	132501
284	52764	132374
285	52937	132157
286	53113	131951
287	53251	131648
288	53408	131394
289	53580	131180
290	53761	130985
291	53968	130854
292	54154	130672
293	54349	130512
294	54514	130280
295	54702	130103
296	54889	129923
297	55100	129800
298	55307	129667
299	55503	129508
300	55720	129396
301	55903	129206
302	56141	129145
303	56381	129084
304	56610	128998
305	56826	128881
306	57008	128686
307	57208	128532
308	57408	128380
309	57606	128221
310	57817	128090
311	58001	127901
312	58202	127748
313	58398	127584
314	58610	127453
315	58779	127232
316	58965	127046
317	59259	127091
318	59461	126937
319	59649	126755
320	59831	126559
321	60047	126434
322	60253	126289
323	60445	126114
324	60643	125952
325	60891	125892
326	61106	125763
327	61347	125686
328	61553	125538
329	61752	125375
330	61952	125215
331	62165	125079
332	62354	124895
333	62530	124685
334	62709	124483
335	62862	124228
336	63053	124048
337	63237	123855
338	63413	123646
339	63660	123576
340	63842	123378
341	64023	123180
342	64272	123111
343	64461	122927
344	64656	122754
345	64851	122579
346	65104	122516
347	65320	122382
348	65514	122205
349	65730	122071
350	65931	121906
351	66172	121818
352	66346	121603
353	66556	121455
354	66710	121206
355	66914	121046
356	67123	120898
357	67343	120766
358	67512	120545
359	67670	120302
360	67846	120093
361	68012	119867
362	68207	119691
363	68409	119528
364	68610	119362
365	68768	119122
366	68969	118958
367	69145	118749
368	69320	118539
369	69504	118344
370	69703	118177
371	69885	117978
372	70128	117884
373	70354	117759
374	70527	117546
375	70752	117418
376	70949	117246
377	71103	117001
378	71366	116935
379	71540	116723
380	71756	116581
381	71933	116373
382	72116	116177
383	72326	116024
384	72540	115876
385	72771	115756
386	72984	115606
387	73246	115532
388	73460	115383
389	73624	115156
390	73837	115005
391	74028	114819
392	74241	114667
393	74433	114484
394	74620	114292
395	74856	114174
396	75066	114018
397	75280	113866
398	75452	113651
399	75635	113453
400	75888	113359
401	76169	113307
402	76384	113155
403	76552	112933
404	76746	112751
405	76979	112625
406	77212	112499
407	77397	112301
408	77594	112123
409	77785	111935
410	78000	111781
411	78189	111591
412	78376	111397
413	78600	111256
414	78756	111017
415	78931	110807
416	79142	110647
417	79364	110502
418	79587	110358
419	79770	110159
420	79962	109971
421	80160	109793
422	80331	109577
423	80539	109412
424	80800	109317
425	80990	109128
426	81190	108950
427	81292	108643
428	81466	108432
429	81647	108229
430	81842	108046
431	82029	107854
432	82243	107694
433	82495	107586
434	82726	107449
435	82920	107264
436	83163	107141
437	83372	106976
438	83559	106781
439	83749	106590
440	83952	106416
441	84160	106247
442	84348	106054
443	84613	105956
444	84876	105857
445	85078	105680
446	85243	105457
447	85432	105264
448	85664	105125
449	85873	104956
450	86043	104739
451	86249	104568
452	86496	104444
453	86676	104240
454	86925	104119
455	87138	103954
456	87358	103797
457	87541	103596
458	87738	103413
459	87924	103215
460	88061	102961
461	88290	102814
462	88483	102626
463	88755	102527
464	88986	102382
465	89157	102167
466	89339	101965
467	89458	101691
468	89626	101474
469	89838	101307
470	89929	101003
471	90156	100853
472	90335	100648
473	90512	100442
474	90713	100262
475	90954	100126
476	91208	100004
477	91434	99851
478	91644	99679
479	91825	99477
480	92008	99276
481	92220	99108
482	92400	98904
483	92592	98714
484	92825	98567
485	92971	98327
486	93166	98140
487	93362	97953
488	93577	97787
489	93765	97592
490	93939	97383
491	94122	97182
492	94302	96980
493	94438	96732
494	94660	96572
495	94859	96389
496	95043	96190
497	95309	96075
498	95511	95894
499	95740	95740
500	95929	95546
501	96170	95403
502	96363	95213
503	96577	95044
504	96774	94858
505	97010	94709
506	97290	94603
507	97468	94398
508	97719	94264
509	97937	94097
510	98119	93895
511	98316	93707
512	98521	93527
513	98681	93305
514	98877	93117
515	99142	92994
516	99365	92830
517	99577	92657
518	99782	92476
519	99959	92270
520	100175	92099
521	100444	91977
522	100689	91833
523	100877	91637
524	101068	91442
525	101256	91246
526	101446	91051
527	101632	90853
528	101842	90676
529	102097	90539
530	102312	90366
531	102510	90178
532	102731	90010
533	102976	89863
534	103185	89684
535	103405	89515
536	103598	89322
537	103802	89138
538	103928	88888
539	104123	88697
540	104330	88517
541	104565	88359
542	104733	88145
543	104950	87973
544	105103	87747
545	105333	87584
546	105548	87410
547	105741	87217
548	105933	87023
549	106124	86829
550	106296	86619
551	106495	86430
552	106685	86236
553	106878	86042
554	107063	85843
555	107249	85645
556	107445	85455
557	107686	85299
558	107897	85120
559	108098	84934
560	108288	84738
561	108505	84564
562	108679	84356
563	108901	84186
564	109166	84048
565	109356	83853
566	109628	83719
567	109826	83530
568	110027	83342
569	110269	83185
570	110457	82988
571	110666	82806
572	110888	82634
573	111096	82451
574	111302	82267
575	111489	82068
576	111676	81870
577	111865	81673
578	112088	81501
579	112322	81337
580	112542	81162
581	112727	80962
582	112933	80777
583	113179	80621
584	113439	80474
585	113677	80311
586	113856	80107
587	114058	79918
588	114278	79742
589	114477	79552
590	114669	79356
591	114869	79166
592	115072	78978
593	115344	78838
594	115534	78641
595	115737	78453
596	115938	78263
597	116154	78083
598	116378	77909
599	116589	77726
600	116769	77522
601	116950	77319
602	117137	77120
603	117326	76922
604	117514	76724
605	117718	76536
606	117906	76338
607	118125	76159
608	118312	75960
609	118537	75786
610	118802	75636
611	118992	75439
612	119167	75232
613	119349	75031
614	119532	74829
615	119778	74667
616	119974	74473
617	120172	74281
618	120317	74056
619	120551	73886
620	120784	73715
621	121014	73542
622	121208	73347
623	121427	73167
624	121610	72966
625	121791	72763
626	121983	72567
627	122219	72397
628	122406	72198
629	122616	72012
630	122801	71812
631	123023	71634
632	123260	71463
633	123470	71277
634	123629	71062
635	123910	70917
636	124119	70730
637	124314	70535
638	124519	70346
639	124737	70164
640	124916	69961
641	125086	69752
642	125278	69555
643	125503	69377
644	125698	69183
645	125881	68981
646	126077	68786
647	126262	68587
648	126456	68391
649	126634	68187
650	126810	67982
651	126999	67785
652	127191	67588
653	127398	67400
654	127577	67197
655	127800	67017
656	127939	66793
657	128168	66616
658	128438	66460
659	128624	66260
660	128806	66059
661	129005	65866
662	129236	65690
663	129411	65485
664	129610	65292
665	129815	65102
666	129949	64877
667	130137	64678
668	130286	64461
669	130440	64246
670	130643	64056
671	130815	63850
672	131072	63686
673	131263	63489
674	131471	63301
675	131655	63101
676	131824	62894
677	131988	62684
678	132153	62476
679	132350	62282
680	132553	62091
681	132734	61890
682	132957	61709
683	133178	61526
684	133373	61332
685	133551	61130
686	133770	60946
687	133974	60755
688	134162	60558
689	134345	60357
690	134571	60177
691	134727	59965
692	134904	59763
693	135132	59582
694	135337	59392
695	135655	59251
696	135876	59068
697	136079	58876
698	136263	58676
699	136508	58503
700	136696	58305
701	136911	58119
702	137093	57918
703	137278	57719
704	137468	57522
705	137663	57327
706	137837	57123
707	138035	56929
708	138236	56737
709	138421	56538
710	138626	56347
711	138811	56148
712	139044	55968
713	139289	55793
714	139471	55593
715	139701	55412
716	139882	55211
717	140102	55026
718	140360	54855
719	140550	54658
720	140759	54468
721	140935	54265
722	141108	54062
723	141293	53863
724	141489	53668
725	141683	53472
726	141906	53288
727	142091	53089
728	142307	52901
729	142528	52715
730	142709	52515
731	142904	52320
732	143098	52124
733	143294	51929
734	143486	51733
735	143687	51540
736	143897	51349
737	144080	51150
738	144250	50946
739	144456	50755
740	144660	50562
741	144829	50358
742	145030	50165
743	145235	49973
744	145445	49783
745	145621	49581
746	145806	49382
747	146008	49189
748	146200	48993
749	146397	48799
750	146595	48604
751	146801	48413
752	147017	48225
753	147207	48027
754	147379	47825
755	147626	47646
756	147791	47441
757	148002	47251
758	148176	47049
759	148422	46870
760	148630	46678
761	148849	46491
762	149059	46300
763	149275	46111
764	149449	45909
765	149687	45726
766	149956	45553
767	150172	45364
768	150357	45165
769	150545	44968
770	150719	44766
771	150906	44568
772	151101	44372
773	151315	44182
774	151559	44001
775	151744	43802
776	151951	43610
777	152153	43416
778	152333	43216
779	152519	43018
780	152675	42811
781	152860	42613
782	153069	42421
783	153299	42235
784	153434	42023
785	153606	41821
786	153782	41620
787	153959	41420
788	154179	41231
789	154366	41034
790	154577	40842
791	154725	40635
792	154931	40442
793	155191	40263
794	155374	40065
795	155575	39871
796	155776	39677
797	155973	39481
798	156205	39295
799	156429	39107
800	156639	38915
801	156853	38724
802	157064	38532
803	157324	38352
804	157497	38151
805	157676	37951
806	157892	37761
807	158078	37563
808	158216	37354
809	158438	37164
810	158632	36968
811	158871	36782
812	159062	36586
813	159274	36394
814	159454	36195
815	159656	36001
816	159868	35808
817	160063	35613
818	160255	35416
819	160400	35209
820	160550	35004
821	160710	34801
822	160953	34615
823	161115	34412
824	161294	34214
825	161470	34014
826	161679	33821
827	161861	33623
828	162051	33426
829	162228	33227
830	162438	33035
831	162663	32845
832	162907	32659
833	163085	32460
834	163318	32272
835	163485	32071
836	163664	31872
837	163856	31676
838	164077	31485
839	164261	31287
840	164467	31094
841	164709	30907
842	164877	30706
843	165066	30510
844	165237	30309
845	165433	30114
846	165620	29917
847	165813	29721
848	165988	29522
849	166172	29324
850	166362	29128
851	166559	28932
852	166739	28734
853	166934	28539
854	167286	28370
855	167548	28185
856	167733	27988
857	167908	27789
858	168099	27592
859	168305	27398
860	168516	27205
861	168766	27018
862	169023	26832
863	169217	26636
864	169386	26436
865	169619	26245
866	169873	26059
867	170063	25862
868	170260	25666
869	170436	25467
870	170648	25274
871	170854	25079
872	171055	24884
873	171244	24687
874	171426	24489
875	171657	24298
876	171857	24103
877	172072	23909
878	172307	23719
879	172509	23523
880	172684	23325
881	172925	23135
882	173130	22940
883	173326	22744
884	173512	22546
885	173735	22354
886	173946	22160
887	174112	21960
888	174302	21763
889	174509	21568
890	174683	21369
891	174879	21173
892	175059	20975
893	175269	20781
894	175453	20583
895	175651	20388
896	175887	20196
897	176155	20008
898	176340	19811
899	176514	19612
900	176688	19414
901	176897	19219
902	177071	19020
903	177322	18830
904	177536	18636
905	177721	18439
906	177857	18236
907	178067	18042
908	178302	17849
909	178498	17653
910	178717	17459
911	178920	17264
912	179113	17067
913	179368	16877
914	179559	16680
915	179804	16488
916	180034	16295
917	180231	16099
918	180496	15908
919	180679	15711
920	180856	15513
921	181065	15317
922	181266	15121
923	181431	14922
924	181623	14726
925	181852	14532
926	182016	14333
927	182269	14141
928	182471	13945
929	182713	13752
930	182827	13550
931	183019	13353
932	183246	13159
933	183432	12962
934	183626	12765
935	183852	12571
936	184042	12374
937	184235	12177
938	184433	11981
939	184630	11784
940	184889	11592
941	185067	11394
942	185285	11199
943	185454	11001
944	185634	10804
945	185824	10607
946	186026	10411
947	186215	10214
948	186417	10018
949	186616	9821
950	186839	9626
951	187077	9432
952	187273	9235
953	187514	9041
954	187696	8844
955	187920	8649
956	188118	8452
957	188321	8256
958	188534	8060
959	188735	7863
960	188932	7667
961	189105	7469
962	189332	7274
963	189509	7077
964	189692	6880
965	189903	6683
966	190082	6486
967	190276	6290
968	190487	6094
969	190699	5897
970	190892	5701
971	191086	5504
972	191280	5307
973	191563	5113
974	191760	4916
975	191941	4719
976	192140	4523
977	192303	4325
978	192506	4129
979	192705	3932
980	192884	3735
981	193068	3538
982	193240	3341
983	193434	3145
984	193627	2948
985	193836	2752
986	194018	2555
987	194152	2358
988	194304	2161
989	194469	1964
990	194648	1767
991	194840	1571
992	195064	1375
993	195275	1178
994	195464	982
995	195741	786
996	195950	589
997	196168	393
998	196343	196
999	196527	0
