iter	Passed	Remaining
0	69	69485
1	193	96373
2	296	98414
3	377	93877
4	1574	313303
5	2435	403511
6	2614	370952
7	2715	336778
8	2995	329786
9	3474	343993
10	3570	321054
11	3864	318181
12	4359	331013
13	4531	319124
14	4660	306049
15	5906	363261
16	6161	356290
17	6291	343250
18	6762	349171
19	7791	381776
20	8334	388526
21	8419	374270
22	8957	380488
23	9080	369267
24	10310	402105
25	10408	389926
26	11292	406964
27	11353	394142
28	12374	414332
29	13624	440522
30	13749	429768
31	14188	429201
32	14292	418820
33	14554	413508
34	14637	403572
35	14684	393222
36	14809	385442
37	15834	400870
38	17128	422061
39	17206	412955
40	17290	404422
41	17351	395770
42	18572	413347
43	19938	433212
44	20036	425221
45	20321	421452
46	20498	415632
47	20823	412992
48	22022	427409
49	23214	441077
50	23287	433325
51	23340	425522
52	23444	418903
53	23552	412609
54	23607	405626
55	23797	401154
56	23854	394647
57	23925	388590
58	23972	382344
59	25272	395937
60	26589	409298
61	26713	404151
62	26789	398447
63	26970	394448
64	27046	389058
65	27228	385318
66	27311	380328
67	28638	392522
68	28737	387747
69	28834	383087
70	28916	378352
71	28969	373384
72	29055	368962
73	29115	364334
74	29198	360115
75	30418	369828
76	30491	365503
77	30564	361284
78	30672	357591
79	30984	356316
80	31067	352485
81	31147	348700
82	31276	345549
83	31777	346523
84	31862	342986
85	31989	339981
86	32182	337728
87	32283	334578
88	32370	331346
89	32413	327734
90	32512	324762
91	32582	321573
92	33947	331074
93	33993	327640
94	34045	324324
95	34088	321002
96	34185	318241
97	34251	315255
98	34348	312608
99	35605	320450
100	35728	318020
101	35813	315303
102	35861	312304
103	35942	309661
104	36004	306892
105	37304	314624
106	37365	311845
107	37678	311196
108	37749	308578
109	38029	307692
110	38468	308098
111	38726	307043
112	39831	312661
113	39913	310201
114	41293	317781
115	42680	325254
116	43118	325415
117	43181	322766
118	43441	321614
119	44551	326711
120	44668	324493
121	44737	321963
122	46004	328018
123	46087	325583
124	46183	323287
125	47299	328093
126	47755	328269
127	48208	328417
128	49443	333836
129	50748	339626
130	51872	344098
131	52986	348426
132	54142	352945
133	55299	357381
134	55423	355118
135	56560	359324
136	57721	363602
137	58924	368066
138	59977	371513
139	61099	375326
140	62318	379657
141	63444	383348
142	64671	387579
143	65851	391448
144	66899	394478
145	67170	392900
146	68392	396860
147	69622	400800
148	70818	404474
149	71964	407799
150	73133	411194
151	74532	415812
152	75659	418847
153	76719	421460
154	77983	425133
155	79037	427613
156	80325	431299
157	81244	432960
158	82442	436061
159	83553	438654
160	84607	440905
161	85830	443986
162	87125	447387
163	88284	450037
164	89340	452115
165	90523	454798
166	91859	458196
167	93011	460626
168	94260	463493
169	95452	466031
170	96651	468561
171	96768	465837
172	97982	468391
173	99329	471529
174	100643	474463
175	101862	476902
176	102965	478759
177	104291	481616
178	105672	484674
179	106899	486987
180	108240	489775
181	109586	492537
182	110959	495377
183	112366	498322
184	113603	500470
185	114718	502046
186	116014	504383
187	117389	507022
188	118687	509290
189	119965	511429
190	121171	513234
191	122444	515287
192	123733	517372
193	124979	519244
194	126335	521538
195	127640	523587
196	128821	525093
197	129870	526042
198	130919	526965
199	132082	528328
200	133385	530224
201	134618	531809
202	136031	534073
203	137291	535707
204	138594	537474
205	139647	538253
206	140863	539636
207	142087	541027
208	143339	542494
209	144479	543516
210	145776	545106
211	147052	546590
212	148382	548249
213	149578	549387
214	150882	550896
215	152106	552089
216	153401	553518
217	154586	554525
218	155749	555435
219	156893	556257
220	158076	557201
221	159274	558178
222	160497	559223
223	161618	559892
224	162943	561250
225	164173	562256
226	165411	563273
227	166543	563910
228	167869	565183
229	169070	566019
230	170281	566867
231	171641	568191
232	172762	568708
233	174024	569671
234	175294	570640
235	176539	571510
236	177689	572055
237	179017	573156
238	180158	573644
239	181453	574604
240	182782	575649
241	183951	576177
242	184488	574723
243	185798	575669
244	187040	576389
245	188193	576820
246	188245	573882
247	189439	574429
248	190520	574621
249	190654	571963
250	191928	572726
251	193336	573871
252	194625	574646
253	195936	575465
254	197273	576347
255	198468	576799
256	199832	577725
257	201187	578608
258	202470	579270
259	203882	580281
260	205083	580675
261	206453	581537
262	207753	582183
263	209046	582795
264	210285	583244
265	211493	583596
266	212781	584153
267	214116	584826
268	215285	585032
269	216602	585629
270	218050	586563
271	219412	587251
272	220780	587938
273	221836	587786
274	223044	588025
275	224309	588405
276	225425	588383
277	226850	589157
278	227047	586743
279	228316	587099
280	229674	587673
281	230915	587933
282	232286	588512
283	233522	588740
284	234735	588898
285	236073	589357
286	237365	589691
287	238762	590273
288	239836	590047
289	241088	590250
290	242400	590590
291	243522	590459
292	244904	590947
293	246179	591165
294	247349	591123
295	248805	591752
296	250120	592036
297	251289	591963
298	252477	591929
299	253787	592171
300	255074	592349
301	256337	592461
302	257493	592320
303	258682	592245
304	259859	592138
305	261114	592200
306	262205	591883
307	263614	592276
308	264860	592294
309	266147	592392
310	267473	592569
311	268734	592594
312	270050	592731
313	271245	592593
314	272657	592920
315	273952	592985
316	275311	593179
317	276610	593234
318	277897	593255
319	279214	593330
320	280305	592920
321	281509	592743
322	282714	592562
323	284018	592581
324	285300	592546
325	286291	591902
326	287570	591850
327	288882	591856
328	290007	591473
329	291205	591236
330	292563	591313
331	293727	590993
332	295020	590927
333	296290	590806
334	297643	590845
335	298998	590878
336	300211	590624
337	301514	590539
338	302831	590476
339	304117	590345
340	305353	590110
341	306677	590040
342	308029	590016
343	309428	590073
344	310740	589955
345	312215	590141
346	313430	589827
347	314730	589666
348	315913	589282
349	317337	589341
350	318503	588914
351	319854	588822
352	321084	588503
353	322413	588359
354	323759	588238
355	325040	587993
356	326342	587781
357	327505	587313
358	328751	586990
359	330093	586832
360	330191	584466
361	331364	584006
362	332697	583824
363	332783	581456
364	334160	581347
365	335376	580953
366	336618	580597
367	337877	580268
368	339197	580037
369	340314	579453
370	341596	579148
371	342869	578822
372	344238	578652
373	345464	578236
374	346696	577827
375	347958	577462
376	349343	577296
377	350695	577070
378	351849	576513
379	353020	575980
380	354250	575540
381	355574	575248
382	356936	575011
383	358263	574714
384	359539	574329
385	360806	573924
386	362136	573616
387	363324	573079
388	363890	571560
389	365161	571150
390	366576	570959
391	367845	570535
392	369093	570074
393	370275	569510
394	371442	568918
395	372706	568471
396	373912	567932
397	375310	567680
398	376553	567189
399	377983	566975
400	379387	566715
401	380570	566122
