iter	RMSE
0	1.035072376
1	1.029191796
2	1.024040545
3	1.019067343
4	1.015287436
5	1.011477645
6	1.008776385
7	1.006177359
8	1.003801144
9	1.001269845
10	0.9991483824
11	0.9969968487
12	0.995439466
13	0.9938654687
14	0.9922958108
15	0.9910247768
16	0.989801886
17	0.9882739203
18	0.9872780461
19	0.9855311114
20	0.9845703201
21	0.9836546126
22	0.9827446901
23	0.9817492926
24	0.9810424419
25	0.9803067011
26	0.9796171247
27	0.9790674065
28	0.9784363735
29	0.9778022247
30	0.9772053311
31	0.9767211834
32	0.9761220706
33	0.9755244296
34	0.9750889081
35	0.9747527722
36	0.9743713786
37	0.9730854199
38	0.9724510247
39	0.9720250139
40	0.9716352441
41	0.9712640162
42	0.9709594515
43	0.970710075
44	0.9696032605
45	0.9686587453
46	0.9683270219
47	0.9679911567
48	0.967647994
49	0.9669762056
50	0.96672192
51	0.9664513506
52	0.9662347363
53	0.9654560258
54	0.9651885565
55	0.9649632519
56	0.9644233454
57	0.9639757621
58	0.9637594991
59	0.9635108473
60	0.9633131423
61	0.9631246033
62	0.9623395342
63	0.9621108095
64	0.9619572972
65	0.9617461711
66	0.9615417443
67	0.9613406374
68	0.9608180714
69	0.9605989173
70	0.9597620932
71	0.9596032838
72	0.9594296894
73	0.9585640663
74	0.9583883889
75	0.9578677957
76	0.9575964711
77	0.9571588263
78	0.9567171886
79	0.9565807668
80	0.956439327
81	0.9561375537
82	0.9560131761
83	0.9558057722
84	0.9556452803
85	0.9554936021
86	0.955279836
87	0.955168488
88	0.9550253538
89	0.9546827264
90	0.9545959956
91	0.9544122925
92	0.9542544603
93	0.9541223077
94	0.9538131499
95	0.9536663034
96	0.953542248
97	0.9528278923
98	0.9521487478
99	0.9519741405
100	0.9518793087
101	0.9517828252
102	0.9514966726
103	0.9511688775
104	0.9510757205
105	0.9509286435
106	0.9507288091
107	0.9506325435
108	0.950513573
109	0.950325614
110	0.9502180579
111	0.95011363
112	0.9496078556
113	0.9494602478
114	0.9490695044
115	0.9490090675
116	0.9486881507
117	0.9485237374
118	0.9483142841
119	0.9481240253
120	0.9479272271
121	0.9478050556
122	0.9473359121
123	0.9472160097
124	0.9470567537
125	0.9469102621
126	0.9467651676
127	0.9466872579
128	0.946607788
129	0.9460489732
130	0.9459236423
131	0.9457717144
132	0.9455896794
133	0.9451997902
134	0.9447524287
135	0.9442613531
136	0.9440485869
137	0.9438927426
138	0.9436643776
139	0.943455508
140	0.9433302156
141	0.943097681
142	0.9429204691
143	0.9426672689
144	0.9424823226
145	0.9423248114
146	0.9419536751
147	0.9417857773
148	0.9415566899
149	0.9413816362
150	0.9410894492
151	0.9409175068
152	0.9405645278
153	0.940163689
154	0.9397265435
155	0.939436419
156	0.9392691573
157	0.9390739665
158	0.9388695968
159	0.9386729613
160	0.9384588163
161	0.9383070744
162	0.9380913396
163	0.9378834079
164	0.9374513978
165	0.9373054602
166	0.9369984451
167	0.9367594333
168	0.9365351661
169	0.9362044081
170	0.935936759
171	0.9358538631
172	0.9357038924
173	0.9355678924
174	0.9354183416
175	0.9351828752
176	0.9349305509
177	0.9347438631
178	0.9344248366
179	0.9341963164
180	0.9339993516
181	0.9335386646
182	0.9333092339
183	0.9330471632
184	0.9328930802
185	0.9326471254
186	0.9325251304
187	0.9323848988
