iter	Passed	Remaining
0	74	74453
1	105	52789
2	134	44535
3	159	39758
4	186	37133
5	210	34954
6	238	33821
7	263	32684
8	292	32177
9	316	31320
10	339	30504
11	366	30195
12	396	30103
13	420	29607
14	443	29103
15	465	28629
16	488	28228
17	508	27761
18	535	27663
19	560	27480
20	582	27140
21	603	26825
22	627	26636
23	648	26359
24	667	26020
25	699	26217
26	729	26271
27	756	26254
28	784	26271
29	812	26261
30	842	26319
31	864	26143
32	888	26043
33	914	25975
34	940	25923
35	959	25697
36	985	25654
37	1025	25951
38	1045	25768
39	1358	32613
40	1384	32391
41	1404	32044
42	1428	31783
43	1449	31484
44	1981	42053
45	2006	41616
46	2031	41199
47	2052	40701
48	2072	40230
49	2090	39727
50	2105	39185
51	2122	38688
52	2138	38206
53	2170	38032
54	2191	37646
55	2211	37275
56	2230	36900
57	2250	36549
58	2267	36168
59	2285	35813
60	2302	35448
61	2323	35155
62	2349	34951
63	2371	34682
64	2389	34375
65	2409	34102
66	2429	33829
67	2453	33625
68	2472	33363
69	2491	33107
70	2512	32880
71	2532	32641
72	2550	32386
73	2570	32168
74	2587	31917
75	2611	31753
76	2632	31553
77	2655	31391
78	2683	31280
79	2704	31097
80	2726	30939
81	2748	30773
82	2767	30571
83	2785	30376
84	2806	30207
85	2825	30024
86	2847	29879
87	2865	29696
88	2893	29622
89	2919	29517
90	2936	29331
91	2957	29190
92	2974	29012
93	2992	28842
94	3013	28711
95	3033	28563
96	3052	28416
97	3073	28291
98	3101	28229
99	3128	28155
100	3156	28095
101	3179	27988
102	3204	27903
103	3224	27777
104	3239	27614
105	3266	27550
106	3283	27404
107	3301	27266
108	3320	27145
109	3343	27049
110	3360	26913
111	3381	26810
112	3400	26689
113	3420	26586
114	3442	26491
115	3460	26374
116	3486	26314
117	3510	26240
118	3530	26136
119	3554	26064
120	3573	25962
121	3591	25849
122	3618	25803
123	3638	25702
124	3658	25606
125	3678	25516
126	3699	25431
127	3725	25380
128	3745	25286
129	3772	25246
130	3792	25158
131	3813	25078
132	3839	25025
133	3873	25036
134	3898	24976
135	3921	24911
136	3942	24834
137	3963	24757
138	3986	24695
139	4008	24624
140	4029	24546
141	4052	24485
142	4071	24402
143	4094	24338
144	4118	24284
145	4153	24295
146	4217	24472
147	4255	24497
148	4279	24443
149	4304	24391
150	4328	24337
151	4351	24279
152	4379	24244
153	4414	24248
154	4441	24213
155	4464	24152
156	4486	24089
157	4505	24009
158	4534	23983
159	4555	23916
160	4580	23869
161	4602	23806
162	4624	23744
163	4658	23745
164	4684	23706
165	4706	23644
166	4735	23621
167	4757	23562
168	4783	23522
169	4809	23483
170	4839	23461
171	4876	23474
172	4897	23412
173	4918	23348
174	4938	23283
175	4959	23221
176	4983	23170
177	5006	23118
178	5028	23064
179	5051	23012
180	5071	22946
181	5102	22934
182	5130	22907
183	5160	22884
184	5196	22892
185	5220	22846
186	5245	22803
187	5264	22739
188	5288	22690
189	5315	22661
190	5339	22617
191	5371	22605
192	5390	22538
193	5418	22511
194	5439	22454
195	5462	22407
196	5483	22352
197	5506	22305
198	5535	22279
199	5559	22239
200	5583	22195
201	5605	22146
202	5639	22143
203	5665	22106
204	5694	22082
205	5713	22023
206	5748	22022
207	5769	21969
208	5790	21916
209	5818	21889
210	5861	21918
211	5882	21863
212	5903	21811
213	5936	21804
214	5959	21758
215	5979	21705
216	5999	21648
217	6024	21612
218	6044	21557
219	6068	21516
220	6095	21484
221	6119	21445
222	6155	21449
223	6182	21416
224	6207	21381
225	6228	21331
226	6252	21291
227	6272	21238
228	6293	21190
229	6315	21144
230	6338	21102
231	6361	21059
232	6386	21024
233	6414	20997
234	6436	20951
235	6457	20904
236	6479	20860
237	6501	20815
238	6525	20777
239	6544	20725
240	6566	20680
241	6587	20634
242	6609	20589
243	6632	20548
244	6649	20491
245	6671	20449
246	6698	20420
247	6728	20402
248	6752	20365
249	6787	20363
250	6809	20320
251	6833	20284
252	6867	20276
253	6894	20248
254	6923	20228
255	6944	20183
256	6965	20138
257	6994	20115
258	7015	20070
259	7039	20034
260	7059	19987
261	7096	19988
262	7126	19970
263	7182	20024
264	7218	20020
265	7248	20002
266	7275	19973
267	7302	19946
268	7331	19922
269	7357	19892
270	7390	19880
271	7411	19837
272	7427	19779
273	7445	19727
274	7472	19700
275	7500	19675
276	7525	19642
277	7551	19612
278	7575	19577
279	7597	19535
280	7615	19486
281	7637	19445
282	7660	19408
283	7691	19390
284	7732	19400
285	7759	19371
286	7780	19328
287	7808	19303
288	7837	19281
289	7869	19267
290	7901	19252
291	7936	19244
292	7961	19210
293	7988	19182
294	8016	19159
295	8045	19135
296	8070	19103
297	8095	19069
298	8120	19039
299	8159	19038
300	8196	19033
301	8232	19028
302	8253	18985
303	8283	18965
304	8302	18918
305	8327	18886
306	8357	18864
307	8382	18834
308	8410	18808
309	8439	18784
310	8463	18750
311	8488	18718
312	8515	18691
313	8537	18652
314	8558	18611
315	8579	18570
316	8601	18533
317	8634	18517
318	8661	18489
319	8690	18466
320	8710	18425
321	8746	18416
322	8770	18383
323	8791	18343
324	8818	18315
325	8863	18325
326	8892	18302
327	8921	18278
328	8949	18252
329	8977	18226
330	9004	18198
331	9027	18164
332	9049	18127
333	9070	18086
334	9104	18074
335	9133	18049
336	9174	18048
337	9210	18039
338	9235	18006
339	9252	17959
340	9276	17927
341	9297	17888
342	9322	17856
343	9347	17825
344	9373	17795
345	9396	17760
346	9416	17720
347	9436	17680
348	9463	17653
349	9489	17623
350	9513	17590
351	9540	17563
352	9563	17528
353	9582	17486
354	9605	17451
355	9627	17416
356	9649	17380
357	9673	17347
358	9697	17314
